loan_id,borrower_id,loan_amount,loan_term,loan_purpose,credit_score,annual_income,interest_rate,debt_to_income_ratio,employment_length,home_ownership,state,num_credit_lines,total_credit_limit,credit_utilization,delinquencies_last_2yrs,months_since_last_delinquency,application_year_month,default
LOAN_000001,BORR_000041,7648,36,home_improvement,724,41563,15.64,16.7,12.528768701276986,RENT,IL,9,23737,19.62,0,36.34805412024365,2023-02,0
LOAN_000003,BORR_001114,12328,60,debt_consolidation,709,43836,17.41,28.58,6.957830369026267,RENT,MA,6,25809,45.29,0,8.06212708977336,2024-09,0
LOAN_000004,BORR_011902,6909,60,debt_consolidation,651,27755,21.59,17.7,,RENT,MN,12,14284,12.78,0,,2023-03,0
LOAN_000006,BORR_009072,17757,36,major_purchase,681,20000,18.47,45.0,3.7465447220499315,OWN,TX,12,13366,45.36,2,,2025-01,0
LOAN_000007,BORR_001002,7908,36,small_business,580,21436,28.0,33.59,9.849764917686107,MORTGAGE,NH,9,16455,22.62,0,,2024-08,0
LOAN_000009,BORR_006115,19128,36,debt_consolidation,787,50111,8.3,35.2,4.297243737109545,MORTGAGE,AZ,12,22052,16.29,0,2.940136557962095,2023-07,1
LOAN_000010,BORR_001525,5874,60,credit_card,693,33437,19.18,21.48,4.649626285237633,RENT,ND,9,24210,18.63,0,31.373534119485186,2023-10,0
LOAN_000012,BORR_014441,10886,36,debt_consolidation,710,23779,15.56,32.37,0.706932553682943,RENT,CA,7,18128,24.39,0,,2023-08,1
LOAN_000013,BORR_014296,19930,36,small_business,666,20000,21.54,45.0,3.348818758533947,MORTGAGE,UT,17,12464,49.62,0,89.28036823989592,2024-01,0
LOAN_000014,BORR_010566,20045,36,moving,658,50725,22.91,24.03,5.413700856355912,RENT,HI,10,24620,15.5,0,19.752705274136048,2024-07,0
LOAN_000016,BORR_017393,20826,36,credit_card,737,28703,14.78,39.77,,RENT,WA,7,19436,45.07,0,,2024-06,0
LOAN_000017,BORR_014796,11559,60,debt_consolidation,626,44396,24.55,9.49,4.71059151156009,MORTGAGE,MD,9,27157,37.5,2,118.48180118738698,2023-06,1
